Question,Answer
What is a bank's technology risk?,"Technology risk includes cyber threats, system failures, data breaches, and outdated IT infrastructure that can disrupt banking operations or expose customer data."
What is an enterprise risk management framework?,"ERM is a bank-wide approach to identify, assess, manage, and monitor all risks — credit, market, liquidity, operational — to protect the bank's stability."
What is a bank's non-interest expense?,"Non-interest expenses are operating costs — salaries, rent, IT, marketing, and depreciation — that are not directly related to interest on deposits or borrowings."
What is the difference between bank credit and bank debit?,"In banking, a credit is money added to your account (deposit, transfer received). A debit is money taken from your account (withdrawal, EMI, fee)."
What is a banker's acceptance?,A banker's acceptance is a short-term debt instrument issued by a company and guaranteed by its bank. Commonly used in international trade to finance imports.
What is the difference between gross and net NPA?,"Gross NPA is total bad loans before deducting provisions. Net NPA deducts the provisions already set aside, showing the actual uncovered risk."
What is a bank's capital buffer?,"A capital conservation buffer is an extra 2.5% of capital that banks must hold above the minimum CAR to absorb losses in stressful periods, as per Basel III norms."
What is liquidity risk in banking?,Liquidity risk is the risk that a bank can't meet its short-term obligations — like sudden deposit withdrawals — because it can't convert assets to cash quickly enough.
What is bank reconciliation for personal accounts?,"It's comparing your own transaction records with your bank statement to spot errors, missed entries, or fraud. A good habit to do monthly."
What is a UPI mandate?,A UPI mandate is a standing instruction that allows a merchant or lender to automatically debit your account on specific dates for recurring payments like EMIs or subscriptions.
What is a balance transfer EMI?,"A balance transfer EMI moves your credit card outstanding balance to a personal loan with lower interest, converting it into fixed monthly instalments."
What is a bank's cybersecurity policy?,"A bank's cybersecurity policy outlines rules for data protection, access control, incident response, and employee training to guard against digital threats."
What is the time value of money?,"The time value of money means ₹1,000 today is worth more than ₹1,000 a year from now, because today's money can be invested to earn returns."
How do I check my PMJJBY insurance status?,Log in to your bank's mobile app or visit the branch to check if your PMJJBY premium has been deducted and your cover is active for the current year.
What is the PM Garib Kalyan Anna Yojana?,"PMGKAY provides free food grain (5 kg per person per month) to about 80 crore beneficiaries under the National Food Security Act, funded by the central government."
What is the RBI's LRS limit?,"Under the Liberalised Remittance Scheme, resident Indians can remit up to USD 2,50,000 per financial year for approved purposes like travel, education, and investment abroad."
What is a balanced advantage fund?,A balanced advantage fund (BAF) dynamically shifts allocation between equity and debt based on market valuations. It reduces equity when markets are expensive and increases it when they're cheap.
What is a bank's interest coverage ratio?,Interest coverage ratio measures how easily a company can pay interest on its debt from operating earnings. Banks use it to assess a borrower's repayment capacity.
What is e-statement in banking?,"An e-statement is a digital version of your monthly bank account statement, delivered to your registered email instead of a physical printout."
